サロン名,〒,都道府県,市,詳細住所,tel,サロンHP,CCVeil取り扱い有無
アトリエV,289-1104,千葉県,八街市,文違301-1977−101,043-442-1114,http://www.r-wiz.com/,有
arena緑ヶ丘,276-0049,千葉県,八千代市,緑ガ丘1-2-9アクトヒルズⅡ1F,047-458-7333,http://arena-pro.com/,無
arena船橋,273-0005,千葉県,船橋市,本町6-2-2プレジール船橋本町101号,047-422-5151,http://arena-pro.com/,無
defiage 船橋南口,273-0005,千葉県,船橋市,本町2‐3‐1 滝一ビル 1F,047-435-3731,http://arena-pro.com/,無
su calm 八千代緑ヶ丘店,276-0049,千葉県,八千代市,緑ガ丘2丁目33-7,047-489-4087,http://www.sucalm.co.jp/,無
su calm 船橋店,273-0005,千葉県,船橋市,本町7丁目20-31,047-460-4085,http://www.sucalm.co.jp/,無
grandage 船橋店,273-0005,千葉県,船橋市,本町4丁目40−1,047-409-9175,https://beauty.hotpepper.jp/slnH000383031/,無
Chez L'amour,272-0033,千葉県,市川市,市川南1丁目2−8,047-324-7111,https://beauty.hotpepper.jp/slnH000193827/,有
MINDS LINO,314-0115,茨城県,神栖市,知手3061-59,0299-94-3377,https://www.minds-hair.com/,無
マインズ シルフェ,314-0344,茨城県,神栖市,土合東1-6-1,0479-26-3359,https://www.minds-hair.com/,無
マインズ シータ,314-0115,茨城県,神栖市,知手3061-59,0299-94-3377,https://www.minds-hair.com/,無
ビューテータナカ新浦安店,279-0012,千葉県,浦安市,入船1-1-1アトレ新浦安1F,047-390-6857,http://www.beauty-tanaka.com/,無
ビューテータナカ八千代台店,276-0032,千葉県,八千代市,八千代台東1-1-10ユアエルム3F,047-484-1423,http://www.beauty-tanaka.com/,無
横濱美人ジャンヌ中田本店,245-0013,神奈川県,横浜市,泉区中田東1-38-4,045-803-0139,http://www.jeanne.co.jp,有
横濱美人ジャンヌ保土ヶ谷店,240-0013,神奈川県,横浜市,保土ヶ谷区帷子町1−3−1,045-333-4433,http://www.jeanne.co.jp,有
横濱美人ジャンヌ戸塚店,244-0003,神奈川県,横浜市,戸塚区戸塚町4872,0450-865-0701,http://www.jeanne.co.jp,有
REGALOresort,220-0005,神奈川県,横浜市,西区南幸2−20−2共栄ビル1F,045-548-8441,http://mahalo-group.jp,有
fish,220-0005,神奈川県,横浜市,西区南幸2-8-2原ビル 1/2F,045-624-8995,http://mahalo-group.jp,有
Cottage,220-0005,神奈川県,横浜市,西区南幸2−20−2共栄ビル4F,045-313-5802,http://mahalo-group.jp,有
コムズ藤沢,251-0022,神奈川県,藤沢市,鵠沼橘1-1-6 山田ビル1F,0466-28-5755,http://com-s.com,無
コムズアイテラスモール湘南,251-0041,神奈川県,藤沢市,辻堂神台1-3-1テラスモール湘南2F,0466-28-2181,http://com-s.com,無
コムズリブリ湘南T-SITE,251-0047,神奈川県,藤沢市,辻堂元町6-4-1湘南T-SITE,0466-53-9560,http://com-s.com,無
delamair 本店,236-0027,神奈川県,横浜市,金沢区瀬戸16-28,0120-10-7681,http://onoderagroup.com,無
delamair K,236-0027,神奈川県,横浜市,金沢区瀬戸3-54 泉ビル1F,0120-70-3986,http://onoderagroup.com,無
delamair grandir,249-0006,神奈川県,逗子市,逗子5-3-28鈴木屋ビル2F,0120-87-4854,http://onoderagroup.com,無
delamair QuAx,237-0068,神奈川県,横須賀市,追浜本町1-39 e-build.1/2F,0120-15-4989,http://onoderagroup.com,無
delamair WOOPWOOP,236-0038,神奈川県,横浜市,金沢区六浦南2-2-7鈴木ビル1F,0120-70-5801,http://onoderagroup.com,無
Hairspace Rizm,229-1101,神奈川県,川崎市,麻生区万福寺1-12-1クロスアベニューⅡ7F,044-969-2056,http://www.rizm.info,無
Rizm green,229-1101,神奈川県,川崎市,麻生区万福寺1-16-5白鳳ビル3F,044-299-7908,http://www.rizm.info,無
INVASION,194-0031,東京都,町田市,森野1-36-14ビオレ町田ビル2F,042-729-1232,http://www.invasion.co.jp,無
シック,223-0062,神奈川県,横浜市,港北区日吉本町1-5-23日吉グランドビル1F,0120-534-651,http://chic-hairsalon.com,無
シックシャビ—,223-0061,神奈川県,横浜市,港北区日吉2-3-8-2F,045-594-6475,http://chic-hairsalon.com,無
サロン･ド･ユー大森ベルポート,140-0013,東京都,品川区,南大井6-26-3大森ベルポートⅮ館1F,03-3765-1180,http://www.salondeu.com/,有
サロン･ド･ユープログレ,140-0013,東京都,品川区,南大井6-26-3大森ベルポートB館1F,03-5764-8050,http://www.salondeu.com/,有
サロン･ド･ユーゼル大森西口店,140-0023,東京都,品川区,山王2-3-13シオカワビル2F,03-3773-8025,http://www.salondeu.com/,有
サロン･ド･ユーゼル大森東口店,140-0013,東京都,品川区,南大井6-28-8-2F,03-5767-5311,http://www.salondeu.com/,有
美容室ノースイースト阿佐ヶ谷南口店,166-0004,東京都,杉並区,阿佐ヶ谷南1-48-10高橋ビル4F,03-6454-6199,http://kcg-inc.jp/,無
美容室ノースイースト阿佐ヶ谷北口店,166-0001,東京都,杉並区,阿佐ヶ谷北2-13-2パサージュ阿佐ヶ谷2-E,03-5327-8254,http://kcg-inc.jp/,無
美容室ノースイースト荻窪店,167-0051,東京都,杉並区,荻窪5-27-8タイガープラザ3F,03-6915-1886,http://kcg-inc.jp/,無
美容室ノースイースト高円寺店,166-0003,東京都,杉並区,高円寺南4-45-2メインロードビル5F,03-5929-9266,http://kcg-inc.jp/,無
エンジェル 青葉台店,227-0062,神奈川県,横浜市,青葉区青葉台2-3-15-2F,045-984-0330,http://angel-1980.com/,無
エンジェル アザミ野店,225-0003,神奈川県,横浜市,青葉区新石川1-8,045-901-7442,http://angel-1980.com/,無
HAIR MAKE AIR,144-0052,東京都,大田区,蒲田5-28-2MCMビル2F,03-3734-5533,http://www.hairmake-air.info,無
HAIR MAKE AIR BERRY,144-0052,東京都,大田区,蒲田1-27-6ビクトリー90 1F,03-3739-3363,http://www.hairmake-air.info,無
HAIR MAKE DITA AIR,144-0052,東京都,大田区,西蒲田8-1-7グランタウンビル6F,03-6715-9696,http://www.hairmake-air.info,無
God Hand横浜店,221-0056,神奈川県,横浜市,神奈川区金港町5-36東興ビル5F,045-548-5995,,有
God Hand鶴見店,230-0062,神奈川県,横浜市,鶴見区豊岡町6-16-1F,045-633-1169,,有
G-THREE 東神奈川店,221-0822,神奈川県,横浜市,神奈川区西神奈川1-6-12SUGIURA東神奈川駅前ビル2F,045-548-8711,,有
insence 二子玉川店,158-0094,東京都,世田谷区,玉川3-6-5MREビル2F,03-5717-3455,http://insence.jp/,有
insence glue店,158-0094,東京都,世田谷区,玉川2-14-7ツインシティーS1F,03-5797-0345,http://insence.jp/,無
insence 用賀店,158-0097,東京都,世田谷区,用賀4-11-17グリーンハウスNo6 2F,03-6411-7540,http://insence.jp/,無
insence タマプラーザ店,225-0003,神奈川県,横浜市,青葉区新石川3-14-14 B1F,045-914-3900,http://insence.jp/,無
merry kawasaki,210-0006,神奈川県,川崎市,川崎区砂子2-11-25-3F,044-246-3881,,無
artina 町田店,194-0013,東京都,町田市,原町田5-5-2キャピタルオシダ1F B,042-860-6638,,無
Shelia by artina町田2号店,194-0013,東京都,町田市,原町田4-1-8太陽ビル5F,042-860-7454,,無
Rosier by artina町田3号店,194-0022,東京都,町田市,森野1-15-12長谷川ビル3F,042-860-6553,,無
Alisha by artina 相模大野店,252-0303,神奈川県,相模原市,南区相模大野3-11-17ホワイトビル2F,042-705-1433,,無
alia by artina 橋本店,252-0143,神奈川県,相模原市,緑区橋本3-13パークスクエア1F,042-703-3023,,無
Lille by artina橋本2号店,252-0143,神奈川県,相模原市,緑区橋本3-19-21岩岡ビル2F,042-703-3112,,無
Rife by artina海老名店,243-0436,神奈川県,海老名市,扇町12-21ビナグレース101号,046-259-7867,,無
fille by artina藤沢店,251-0025,神奈川県,藤沢市,鵠沼石上1-3-7第一興産14号館2F,046-686-7141,,無
Dina by artina立川店,190-0022,東京都,立川市,錦町2-1-26 N building 3F,042-525-4777,,無
Ellen by artina新宿店,160-0023,東京都,新宿区,西新宿7-10-19-7F,03-5937-1777,,無
Cyntina by artina澁谷店,150-0042,東京都,渋谷区,宇田川町33-13 楠原ビル5F,03-6247-8545,,無
AUGUST hair nail,220-0073,神奈川県,横浜市,西区岡野1-12-14横浜NYビル3F,045-624-8448,http://www.august8.jp/,無
sweet room辻堂,251-0047,神奈川県,藤沢市,辻堂2-7-7-1F,0466-33-1213,,無
sweet room 茅ヶ崎,253-0056,神奈川県,茅ヶ崎市,共恵1-2-21 アクエリアリゾート201,0467-40-5042,,無
Candy Market,251-0041,神奈川県,藤沢市,辻堂神台2-1-2湘南明治ハイツ1F,0466-35-7676,,無
PiNup GirL,253-0044,神奈川県,茅ヶ崎市,新栄町7-7,0467-38-8553,,無
sweet room代官山,150-0021,東京都,渋谷区,恵比寿西2-21-4,03-6277-5835,,無
GRAPEVINES横浜,220-0072,神奈川県,横浜市,西区浅間町1-6-5横浜西口K&Kビル3F,045-314-9333,http://grapevines.jp,有
GRAPEVINES鎌倉,248-0006,神奈川県,鎌倉市,小町1-4-17g三九ビル!F,0467-22-6616,http://grapevines.jp,有
GRAPEVINES港南台,234-0054,神奈川県,横浜市,港南区港南台4-21-1,045-352-7161,http://grapevines.jp,有
CLAIRE by GRAPEVINE,238-0011,神奈川県,横須賀市,米ガ浜通1-7-2サクマ横須賀ビル1F,046-876-6614,http://grapevines.jp,有
Frais横浜,220-0005,神奈川県,横浜市,西区南幸2-17-6横浜西口第一ビル7F,045-324-7959,http://www.hair-frais.com/,有
Frais ork,220-0005,神奈川県,横浜市,西区南幸2-8-9ブライト横浜201,045-314-2234,http://www.hair-frais.com/,有
Frais Tout,220-0004,神奈川県,横浜市,西区北幸2-10-50北幸山田ビル2F,045-620-3131,http://www.hair-frais.com/,有
Frais町田,194-0013,東京都,町田市,原町田6-17-7町田サークビル2/3F,042-723-9011,http://www.hair-frais.com/,有
151e戸塚,244-0817,神奈川県,横浜市,戸塚区吉田町3000-10 EINHAUS1F,045-443-7135,,無
Flor上大岡,233-0002,神奈川県,横浜市,港南区上大岡西2-4-4 Rアイプラザ,045-350-9935,,無
Flor戸塚,244-0003,神奈川県,横浜市,戸塚区戸塚町6003-5 1F A2,045-390-0503,,無
Reir下北沢,155-0031,東京都,世田谷区,北沢2-18-2パインクレスト2F,03-6805-2877,,無
ブエノスカリン,231-0005,神奈川県,横浜市,中区本町4-41-1 1/2/3F,045-640-3375,http://buenoskarin.new-resort.net/,無
MILKY WAY横浜店,230-0062,神奈川県,横浜市,鶴見区豊岡町16-7-1F,045-585-1191,http://www.milkyway-hair.com,無
MILKY WAY ANNEX,230-0062,神奈川県,横浜市,鶴見区豊岡町34-22,045-572-1191,http://www.milkyway-hair.com,無
ushiwakamaru JAPAN(ウシワカマルジャパン),411-0933,静岡県,駿東郡,長泉町納米里206-1 ネクサスツギビル1F,0120-89-4416,http://www.ushiwakamaru.co.jp/,有
ushiwakamaru EaSt(ウシワカマルイースト),410-1123,静岡県,裾野市,裾野市伊豆島田818-2 ロイヤルプラザ市川101,0120-38-8900,http://www.ushiwakamaru.co.jp/,有
loft produced by ushiwakamaru(ロフトプロデュースバイウシワカマル),419-0124,静岡県,田方郡,函南町塚本212-4,0800-111-0024,http://www.ushiwakamaru.co.jp/,有
ushiwakamaru Garden(ウシワカマルガーデン),419-0124,静岡県,田方郡,函南町塚本213,0120-87-9006,http://www.ushiwakamaru.co.jp/,有
GRAND ushiwakamaru(グランドウシワカマル),411-0907,静岡県,駿東郡,清水町伏見25-7,0120-83-5512,http://www.ushiwakamaru.co.jp/,有
ushiwakamaru Pirates (パイレーツウシワカマル),410-0062,静岡県,沼津市,沼津市宮前町11-1,0120-595-787,http://www.ushiwakamaru.co.jp/,有
Custard @ ushiwakamaru(カスタードウシワカマル),411-0933,静岡県,駿東郡,長泉町納米里67-3 ヴィ･テラス1F,0120-46-1400,http://www.ushiwakamaru.co.jp/,有
SCISSORS UNIVERSITY USHIWAKAMARU(シザーズユニバーシティウシワカマル),410-0801,静岡県,沼津市,大手町1-1-5 Bivi1F,0120-465-005,http://www.ushiwakamaru.co.jp/,有
megaMix 磐田店(メガミックスイワタテン),438-0026,静岡県,磐田市,西貝塚3670-8,0538-35-7874,http://www.megamix-hair.com/,無
megaMix 袋井店(メガミックスフクロイテン),437-0023,静岡県,袋井市,高尾12-2,0538-43-7874,http://www.megamix-hair.com/,無
megaMix 掛川店(メガミックスカケガワテン),436-0077,静岡県,掛川市,駅前10-3,0537-21-7874,http://www.megamix-hair.com/,無
megaMix Cビル店(メガミックスシービルテン),430-0933,静岡県,浜松市,中区鍛冶町140 イズムビル2F,053-457-0055,http://www.megamix-hair.com/,無
トップスタイル(トップスタイル),418-0057,静岡県,富士宮市,朝日町19-12,0120-78-1002,http://www.top-style.co.jp/,有
felia 静岡店(フェリアシズオカテン),420-0816,静岡県,静岡市,葵区沓谷5-7-5,054-267-3600,http://www.gm-c.co.jp/,有
felia south garden(フェリアサウスガーデン),422-8042,静岡県,静岡市,駿河区石田3-12-24,054-286-0026,http://www.gm-c.co.jp/,有
felia 清水店(フェリアシミズテン),424-0847,静岡県,静岡市,清水区大坪2-6-1,054-349-0155,http://www.gm-c.co.jp/,有
Colorful(カラフル),420-0031,静岡県,静岡市,葵区呉服町2-7-26-2F,054-272-1070,http://www.gm-c.co.jp/,有
TRANSIT(トランジット),424-0815,静岡県,静岡市,清水区江尻東2-1-7,054-366-2050,http://www.gm-c.co.jp/,有
トップスタイル リッチ(トップスタイルリッチ),416-0909,静岡県,富士市,松岡1212−4,0120-63-5400,http://www.top-style.co.jp/,有
Mumps(マンプス),424-0044,静岡県,静岡市,清水区江尻台町22−35 B棟1F,054-364-0333,http://mumps-group.com/mumps,無
Mumps utata(マンプスウタタ),424-0853,静岡県,静岡市,清水区月見町4−8,054-388-9776,http://mumps-group.com/mumps,無
B-WORLD(ビーワールド),426-0033,静岡県,藤枝市,小石川町1−7−34,054-639-7728,http://www.happy-anda.com/,無
navel(ネーブル),426-0061,静岡県,藤枝市,田沼3−5−9,054-636-8222,http://www.happy-anda.com/,無
CAN:PUS(キャンパス),426-0061,静岡県,藤枝市,田沼1−4−3,054-636-7790,http://www.happy-anda.com/,無
ushiwakamaru macaron(ウシワカマルマカロン),410-0003,静岡県,沼津市,新沢田町19-40,0559-41-5620,http://www.ushiwakamaru.co.jp/,有
BIRCH ushiwakamaru(バーチウシワカマル),419-0014,静岡県,田方郡,静岡県田方郡函南町仁田762-4,055-957-0305,http://www.ushiwakamaru.co.jp/,有
nista by Avanzato(ニスタバイアバンツァート),430-0929,静岡県,浜松市,中区中央1-16-1 1F,053-453-9744,http://www.i-s-s-o.com/,無
Avanzato(アヴァンツァート),438-0801,静岡県,磐田市,高見丘1200,0538-59-0111,http://www.i-s-s-o.com/,無
ferry(フェリー),421-0422,静岡県,牧之原市,静波2205-1,0548-23-9550,http://ferry04.com/,無
PERS 鷹匠店(パースタカジョウテン),420-0839,静岡県,静岡市,葵区鷹匠2-16-20,054-251-7555,https://pershd.com/,有
PERS 大倉山店(パースオオクラヤマテン),222-0032,神奈川県,横浜市,港北区大豆戸町924-7-1F,045-717-7753,https://pershd.com/,無
SORA(ソラ),410-0832,静岡県,沼津市,御幸町11-1カネコビル1階,055-956-0314,http://www.sorastyle.net/,有
bube(ブーベ),410-0046,静岡県,沼津市,米山町2−64 アルトトーレAB,055-956-2411,http://www.bubehairdesign.com/,有
alfam(アルファム),410-1123,静岡県,裾野市,伊豆島田818−1 ロイヤルプラザ飯塚,055-950-6201,http://alfambeautylounge.com/,有
BICASA(ビカーサ),410-0056,静岡県,沼津市,高島町2−2 開成ビル1F,055-919-4537,http://www.bicasa-salon.com/,有
tetote(テトテ),250-0011,神奈川県,小田原市,栄町2丁目8−31 プランタン岩下2F,0465-20-3693,http://tetote-beautylabo.com/,有
オークラ河渡店(オークラコウドテン),950-0015,新潟県,新潟市,東区河渡庚135-1 マーケットシティ河渡内,025-272-0209,http://hair-okura.com/,無
オークラdekky401店(オークラデッキーヨンマルイチテン),950-0973,新潟県,新潟市,中央区上近江4-12-20 DeKKY401 1F,025-281-2166,http://hair-okura.com/,無
オークラ万代店(オークラバンダイテン),950-0088,新潟県,新潟市,中央区万代1丁目3-30 万代シルバーホテル3F,025-244-6238,http://hair-okura.com/,無
unixアピタ店(ユニックスアピタテン),950-2023,新潟県,新潟市,西区小新5丁目7番21号 アピタ新潟西店2F,025-232-5222,http://hair-okura.com/,無
unix黒崎店(ユニックスクロサキテン),950-1101,新潟県,新潟市,西区山田85番地,025-230-7776,http://hair-okura.com/,無
bellescheveux by hisao(ベルシュヴバイヒサオ),957-0061,新潟県,新発田市,住吉町1丁目8−3,0254-23-3275,http://bellescheveux.com/,無
belle cheveux deux(ベルシュヴドゥ),957-0065,新潟県,新発田市,舟入町1-16-13,0254-21-2133,http://bellescheveux.com/,無
riche(リーチェ),957-0062,新潟県,新発田市,富塚町2丁目20−21,0254-28-1810,http://riche-hair.net/,無
ENCHANT(アンシャンテ),940-0875,新潟県,長岡市,新保6丁目130,0258-77-7217,http://www.enchant-hair.com/,無
vividecoco(ビビデココ),940-0076,新潟県,長岡市,本町1丁目2−1,0258-37-7425,http://vividecoco.com/,無
mirum(ミールム),954-0112,新潟県,見附市,上新田町13−51,0258-61-5771,http://www.mirum.jp/,無
BHOO ZHOO SHIFT(ブーズーシフト),940-2106,新潟県,長岡市,古正寺1丁目2959,0258-28-5725,http://www.bhoozwoo.com/,無
Be Born(ビーボーン),940-2121,新潟県,長岡市,喜多町319−1,0258-89-6037,,有
COLORS SEA(カラーズシー),945-0831,新潟県,柏崎市,柳橋町10−33,0120-810-970,http://colors-sea.net/,無
GRANT HAIRDESIGN(グラントヘアデザイン),940-0845,新潟県,長岡市,花園1丁目5−21,0258-32-5226,http://www.grant-hair.com/,有
LIPPUL QOT(リップルクォート),950-0824,新潟県,新潟市,東区中島2丁目1−39,025-257-2525,http://lippul.jp/salon/qot,無
door by LIPPUL(ドアバイリップル),950-0917,新潟県,新潟市,中央区天神2-1-5 アクシス駅南ウエスト1F,025-248-3070,http://lippul.jp/salon/qot,無
SHAPE(シェイプ),410-2407,静岡県,伊豆市,柏久保1304,0120-103-394,http://shape-hair.jp/,無
MLFHC焼津店(ミルフィックヤイヅテン),425-0036,静岡県,焼津市,西小川2丁目1−19,054-626-7200,http://mlfhc.com/,無
MLFHC藤枝店(ミルフィックフジエダテン),426-0067,静岡県,藤枝市,前島3丁目9-2,054-634-0020,http://mlfhc.com/,無
ambino(アンビーノ),997-0017,山形県,鶴岡市,大宝寺字日本国362-86,0235-33-8366,http://ambino.jp/,無
CARDIA lusso(カルディアルッソ),430-0949,静岡県,浜松市,中区尾張町125−18,053-456-1388,http://www.cardia.co.jp/salon/lusso.php,無
WILL(ウィル),940-0084,新潟県,長岡市,幸町3-4-12 中川ビル1F,0258-33-7616,http://hairdressingsalonwill.web.fc2.com/index.html,有
ガルボアルファ(ガルボアルファ),433-8122,静岡県,浜松市,中区上島5丁目6−30,053-489-3022,http://www.garboplus.com/,無
ガルボプラス(ガルボプラス),433-8123,静岡県,浜松市,中区幸5丁目 1-4,053-489-9300,http://www.garboplus.com/,無
PATIO(パティオ),411-0045,静岡県,三島市,萩363−2,0120-735-731,http://patio.pr-pro.jp/,無
Lege-ce(レガーチェ),943-0316,新潟県,上越市,三和区井ノ口981,025-532-2780,http://www.lega-ce.com/,無
Hairroom Cover(ヘアールームカバー),439-0031,静岡県,菊川市,加茂2183−1,0537-35-5528,https://hairroom-cover.business.site/,有
アダムス ヘアーファッション(アダムス ヘアーファッション),420-0032,静岡県,静岡市,葵区両替町1丁目3−14,054-255-2480,http://adams-hair.com/,無
Lapin MaxValu裾野茶畑店(ラパンマックスバリュースソノチャバタケテン),410-1121,静岡県,裾野市,茶畑2−1,055-992-7717,,無
hair plus Galleria(ヘアープラスガレリア),422-8008,静岡県,静岡市,駿河区栗原20−1 エム･ド･ソレイユ 1F,054-208-5208,http://galleria-hair.com/,無
flavor float(フレーバーフロート),436-0222,静岡県,掛川市,下垂木1045−3,0537-29-7590,http://www.flavorfloat.jp/,無
Hair&Nail anchor(ヘアアンドネイルアンカー),424-0885,静岡県,静岡市,清水区草薙杉道3丁目1−18,054-395-8218,,無
Asia Hair+Make(アジアヘアメイク),940-2101,新潟県,長岡市,寺島町714,0258-28-7770,http://www.lux-asia.com/index.html,有
PULP(パルプ),950-0901,新潟県,新潟市,中央区 弁天3丁目1番9号,025-248-8388,http://hairmakepulp.wixsite.com/hair-make-pulp1,無
Hair home No.8(ヘアホームエイト),955-0057,新潟県,三条市,新光町15−15,0256-55-5807,,無
Hills Earl & Bee(ヒルズアールアンドビー),420-0816,静岡県,静岡市,葵区 沓谷5丁目21-1,054-261-2727,http://www.hills-eb.com/,無
mon chou chou(モンシュシュ),425-0028,静岡県,焼津市,駅北2丁目6−9,054-628-1117,,無
Estilo(エスティロ),952-1211,新潟県,佐渡市,中興乙868,0259-67-7182,,無
miel hair&spa(ミエルヘアアンドスパ),435-0042,静岡県,浜松市,東区篠ケ瀬町 1385,053-570-6921,http://miel-hairandspa.net/,無
Grappe rire(グラープリール),955-0803,新潟県,三条市,月岡1丁目21−41,0256-47-0393,https://grappe-rire.com/,無
Aoi hair(アオイヘア),943-0810,新潟県,上越市,大学前214,025-523-1133,http://www.beaute-aoi.com/,無
hair make beans(ヘアメイクビーンズ),959-1864,新潟県,五泉市,郷屋川2-54-2 キューピッド五泉店内,0250-42-1053,http://beans-hair.jp/,無
hair of SIESTA(ヘアーオブシエスタ),953-0041,新潟県,新潟市,西蒲区 巻甲4163−1,0256-72-8457,http://hair-of-siesta.com/,無
CIAILE(シエール),950-0908,新潟県,新潟市,中央区幸西3-1-6 蔦屋書店2F,025-282-5667,,無
美容室草,350-1123,埼玉県,川越市,脇田本町1‐3 グランベル川越ビル2F,049-244-2555,http://www.so-salon.com,有
CUEON,963-8025,福島県,郡山市,桑野3丁目12−2,024-923-7166,,無
Grace,326-0823,栃木県,足利市,朝倉町435−1,0284-64-9390,http://ashikaga-design.com/grace_salon/,有
CHERRY COKE,960-8055,福島県,福島市,野田町5丁目2−51,024-573-6192,http://cherrycoke.co.jp/,無
Lagoon,371-0805,群馬県,前橋市,南町2丁目52−4,027-226-5678,,無
ガロ,330-0063,埼玉県,さいたま市,浦和区高砂1-1-1,048-832-0775,http://www.garo-j.com/urawa/index.html,有
アイラ,362-0036,埼玉県,上尾市,宮本町3-1若松屋ビル2階,048-788-3818,https://job.orawall.com/offers/detail/582,無
ファーストクラス館林店,374-0073,群馬県,館林市,足次町1200-1,0276-55-6774,http://www.hair-firstclass.com/index.html,無
ファーストクラス足利店,326-0823,栃木県,足利市,朝倉町2-21-16ヨークタウン足利内,0284-72-2277,http://www.hair-firstclass.com/index.html,無
ファーストクラスオモチャノマチ店,321-0217,栃木県,下都賀郡壬生町,至宝3-12-2コープ敷地内,0282-25-6678,http://www.hair-firstclass.com/index.html,無
ファーストクラス栃木店,328-0074,栃木県,栃木市,薗部町2-5-10,0282-21-8533,http://www.hair-firstclass.com/index.html,無
ファーストクラス真岡店,321-4333,栃木県,真岡市,大谷本町2-17,0285-84-5500,http://www.hair-firstclass.com/index.html,無
ファーストクラス針ヶ谷店,321-0147,栃木県,宇都宮市,針ヶ谷町字新田472-6 ヨークタウン敷地,028-688-1144,http://www.hair-firstclass.com/index.html,無
ファーストクラスミドリ店,379-2311,群馬県,みどり市,笠懸町阿左美1930-1,0277-46-9600,http://www.hair-firstclass.com/index.html,無
ファーストクラス佐野店,327-0031,栃木県,佐野市,田島町字東47-5(ヨークタウンベニマル敷地内),0283-21-2266,http://www.hair-firstclass.com/index.html,無
ファーストクラス小山店,323-0812,栃木県,小山市,土塔2-1 トリセン敷地内,0285-27-2224,http://www.hair-firstclass.com/index.html,無
ファーストクラス桐生店,376-0031,群馬県,桐生市,本町6-6,0277-43-2777,http://www.hair-firstclass.com/index.html,無
ファーストクラス結城店,307-0001,茨城県,結城市,結城11839-1 ヨークタウン結城内,0296-34-0999,http://www.hair-firstclass.com/index.html,無
ファーストクラス太田店,373-0035,群馬県,太田市,藤久良町3番地1,0276-61-3434,http://www.hair-firstclass.com/index.html,無
ファーストクラス伊勢崎店,372-0812,群馬県,伊勢崎市,連取町3087−1,0270-61-6660,http://www.hair-firstclass.com/index.html,無
ファーストクラス下館店,308-0826,茨城県,筑西市,下岡崎河原向336-4,0296-45-7776,http://www.hair-firstclass.com/index.html,無
Atoro(アトロ),530-0013,大阪府,大阪市,北区茶屋町10−12 NU茶屋町2階,06-6292-8658,http://mashu.jp/,有
Opochu by FUD(オポチュ バイ エフユーデー),590-0115,大阪府,堺市,南区茶山台3−3−2−1,072-292-7702,http://www.fud1998.com/,無
LOHAS OF HAIR OLIVE(オリーブ),385‐0027,長野県,佐久市,佐久平駅北17−2,0267‐88‐7188,https://olive-online.org,無
F･I･R･S･T 高崎 (ファースト タカサキ),370‐0801,群馬県,高崎市,上並榎町83−2,027‐362‐7695,http://www.first-hair.co.jp/takasaki.html,無
Riche ami(リッシェアミ),533-0014,大阪府,大阪市,東淀川区豊新5丁目19-18 ナカノビル1F,06-6328-0212,,無
Noella(ノエラ),525-0055,滋賀県,草津市,野路町683−6フォレストコート南草津103,077-599-1102,http://www.hair-noella.com/,無
美容室エルロード 渋谷店(ビヨウシツエルロード シブヤテン),150-0042,東京都,渋谷区,宇田川21-1 西武百貨店渋谷店 B館地下1階,03-3462-3484,http://www.inouebeauty.com/,無
Hair INOUE(ヘアーイノウエ),153-0053,東京都,目黒区,五本木1-30-3,03-3715-0775,http://www.inouebeauty.com/,無
VOORDEUR (ウォールデゥール),260-0045,千葉県,千葉市,中央区弁天1−1−3 鈴木ビル2F,043-445-7200,https://beauty.hotpepper.jp/slnH000229138/,無
AnouK(アヌーク),283-0006,千葉県,東金市,東新宿8-17,0475-52-8350,http://anouk-hair.net,無
XELVe TOKYO(シェルブ トウキョウ),279-0002,千葉県,浦安市,北栄 1-1-15金佳ビル2F,047-711-3717,https://xelve-urayasu.amebaownd.com/,無
LALA HAIR八日市場(ララヘアー ヨウカイチバ),289-2144,千葉県,匝瑳市,八日市場イ452-6,0479-79-1313,http://lalagroup.beauty-parlor.jp,無
LALA HAIR 松尾(ララヘアー マツオ),289-1523,千葉県,山武市,松尾町五反田2808-6,0479-86-1212,http://lalagroup.beauty-parlor.jp,無
ZEST 中野店,164-0001,東京都,中野区,中野5−32−7 駿河ビル2F,03-3388-4224,http://www.web-zest.co.jp/,無
OOOYY(オーオーシカシカ),150-0034,東京都,渋谷区,代官山町12-16,03-3780-8331,http://www.ooo-yy.com/,無
bamboo CLINIC ZONE(バンブークリニックゾーン),146-0082,東京都,大田区,池上7-7-10 グリーンパル池上 1F,03-3754-7017,http://bamboo-c.co.jp,無
bamboo ANNEX(バンブーアネックス),146-0082,東京都,大田区,池上3-33-6 メゾン浅野 1F,03-3753-0333,http://bamboo-c.co.jp,無
bamboo CLASSIC(バンブークラッシック),146-0082,東京都,大田区,池上6-9-9 ユニック池上2F,03-3754-7017,http://bamboo-c.co.jp,無
bamboo material(バンブーマテリアル),146-0092,東京都,大田区,下丸子3-13-5 アインス 1F,03-3750-2451,http://bamboo-c.co.jp,無
ibah(イヴァ),144-0051,東京都,大田区,西蒲田7-49-1,03-3730-3600,http://www.ibah.net/,無
ibah-dua-(イヴァドゥア),144-0051,東京都,大田区,西蒲田5-14-8,03-6715-8111,http://ibah.net/dua/,無
ade(アデ),150-0001,東京都,渋谷区,神宮前5-13-3田之上ハウス1F,03-6419-7629,http://ade-salon.com/index.html,有
